Unnamed: 0,type_of_street,addresses,neighborhood,province,street_number,floor,street_name,floor_number,street_name2,prov,full,FORMATED_ADDRESS,TYPE_STREET,STREET_NAME,STREET_NUMBER,LOCALITY,PROVINCE,REGION,COUNTRY,POSTAL_CODE,NEIGHBOURHOOD,LAT,LONG,OBSERVATIONS
1,calle,san martin de porres  10,vista alegre,murcia,10,,san martin de porres,,san martin de porres,Region de Murcia,"calle san martin de porres, 10, Region de Murcia, España","Calle San Martín de Porres, 10, San Javier, Región de Murcia, España",Calle,San Martín de Porres,10,San Javier,Murcia,Región de Murcia,Spain,30720,,37.7984305,-0.8063039999999999,
2,calle,"collado de los jeronimos, fase  2 ,  21 ,  2 b - la tercia golf",casa pelada,murcia,2,", 21 ,  2 b - la tercia golf",collado de los jeronimos,,collado de los jeronimos,Region de Murcia,"calle collado de los jeronimos, 2, Region de Murcia, España","Avenida de los Jerónimos, 2, Guadalupe, Región de Murcia, España",Avenida,de los Jerónimos,2,Guadalupe de Maciascoque,Murcia,Región de Murcia,Spain,30107,,38.0013573,-1.1672849,", 21 ,  2 b - la tercia golf"
3,,avenida. del carbono 107,cartagena,murcia,107,,avenida. del carbono,,avenida. del carbono,Region de Murcia," avenida. del carbono, 107, Region de Murcia, España","Avenida del Carbono, 107, Cartagena, Región de Murcia, España",Avenida,del Carbono,107,Cartagena,Murcia,Región de Murcia,Spain,30369,,37.6510293,-0.9172382,
4,,urbanizacion portal  1 punta cormoran 44 nd  2,la manga del mar menor,murcia,1,punta cormoran 44 2,urbanizacion portal    punta cormoran   nd,44 nd,urbanizacion portal,Region de Murcia," urbanizacion portal, 1, Region de Murcia, España","Calle Region de Murcia, 1, Jaén, España",Calle,Region de Murcia,1,Jaén,Jaén,Andalucía,Spain,23008,,37.7809418,-3.7923845,punta cormoran 44 2
5,calle,granizo nnd 4242,los camachos,murcia,42,,granizo nnd,,granizo,Region de Murcia,"calle granizo, 42, Region de Murcia, España","Calle Granizo, 42, Cartagena, Región de Murcia, España",Calle,Granizo,42,Cartagena,Murcia,Región de Murcia,Spain,30369,,37.6453595,-0.9188592,
6,calle,collado jeronimo 172 a,la tercia,murcia,172,a,collado jeronimo   a,,collado jeronimo,Region de Murcia,"calle collado jeronimo, 172, Region de Murcia, España","Calle Collado, Moratalla, Región de Murcia, España",Calle,Collado,172,Moratalla,Murcia,Región de Murcia,Spain,30440,,38.1906606,-1.8949628,a
7,,apartamento  o 6 urbanizacion : verdemar iii,playa honda,murcia,6,urbanizacion : verdemar iii,apartamento  o   urbanizacion : verdemar iii,,apartamento  o,Region de Murcia," apartamento  o, 6, Region de Murcia, España","Calle Region de Murcia, 6, apartamento o, Jaén, España",Calle,Region de Murcia,6,Jaén,Jaén,Andalucía,Spain,23008,,37.7814022,-3.7917146,urbanizacion : verdemar iii
8,calle,helena 226,los narejos,murcia,226,,helena,,helena,Region de Murcia,"calle helena, 226, Region de Murcia, España","Calle Helena, 226, Los Alcázares, Región de Murcia, España",Calle,Helena,226,Los Alcázares,Murcia,Región de Murcia,Spain,30710,,37.7615387,-0.839688,
9,calle,hawai  574 b,la manga del mar menor,murcia,574,b,hawai    b,,hawai,Region de Murcia,"calle hawai, 574, Region de Murcia, España","Calle Hawai V, 574, San Javier, Región de Murcia, España",Calle,Hawai V,574,,Murcia,Región de Murcia,Spain,,,37.7049731,-0.7418971,b
10,,"mares  3 , esc  3 ,  2 nda",mar de cristal,murcia,3,", esc  3 ,  2 nda",mares,2 nd,mares,Region de Murcia," mares, 3, Region de Murcia, España","Polígono Dos Mares, 3, Cartagena, Región de Murcia, España",,Polígono Dos Mares,3,Cartagena,Murcia,Región de Murcia,Spain,30380,,37.6648158,-0.7303286999999999,", esc  3 ,  2 nda"
11,calle,aldeas de taray 353,la manga del mar menor,murcia,353,,aldeas de taray,,aldeas de taray,Region de Murcia,"calle aldeas de taray, 353, Region de Murcia, España","Aldeas de Taray, Gran Vía de la Manga, La Manga, Región de Murcia, España",,Gran Vía de la Manga,km. 17,San Javier,Murcia,Región de Murcia,Spain,30380,Aldeas de Taray,37.7721493,-0.7457155,353 
12,calle,"gran via, km.  5 castillo de mar  2  fase  1141 c",la manga del mar menor,murcia,5,castillo de mar  2  fase  1141 c,gran via,,gran via,Region de Murcia,"calle gran via, 5, Region de Murcia, España","Calle Gran Vía, 5, Murcia, Región de Murcia, España",Calle,Gran Vía,5,,Murcia,Región de Murcia,Spain,30589,,37.988515,-1.0404525,castillo de mar  2  fase  1141 c
13,,"lo barquera, urbanizacion lo santiago 163",gea y truyols,murcia,163,,lo barquera,,lo barquera,Region de Murcia," lo barquera, 163, Region de Murcia, España","Calle Region de Murcia, 163, Jaén, España",Calle,Region de Murcia,163,Jaén,Jaén,Andalucía,Spain,,,37.7813887,-3.7919021,
14,,"hermanos pinzon,  15  bajo",urbanizacion mediterraneo,murcia,15,bajo,hermanos pinzon,,hermanos pinzon,Region de Murcia," hermanos pinzon, 15, Region de Murcia, España","Calle Hermanos Pinzón, 15, Cartagena, Región de Murcia, España",Calle,Hermanos Pinzón,15,Cartagena,Murcia,Región de Murcia,Spain,30205,,37.6181887,-0.997428,bajo
15,,"san luis,  02   1  derecha",san anton,murcia,2,1 derecha,san luis,,san luis,Region de Murcia," san luis, 2, Region de Murcia, España","Calle San Luis, 2, Yecla, Región de Murcia, España",Calle,San Luis,2,Yecla,Murcia,Región de Murcia,Spain,30510,,38.6157842,-1.1163601,1 derecha
16,,"jose antonio,  27  bajo",los (los dolores) dolores,murcia,27,bajo,jose antonio,,jose antonio,Region de Murcia," jose antonio, 27, Region de Murcia, España","Calle José Antonio, 27, Cartagena, Región de Murcia, España",Calle,José Antonio,27,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.6396255,-1.0028433,bajo
17,calle,"del pilar,  01",los barreros,murcia,1,,del pilar,,del pilar,Region de Murcia,"calle del pilar, 1, Region de Murcia, España","Calle del Pilar, 1, Murcia, Región de Murcia, España",Calle,del Pilar,1,Murcia,Murcia,Región de Murcia,Spain,30004,,37.984645,-1.1349475,
18,calle,"esmeralda,  49   3 nd c",urbanizacion mediterraneo,murcia,49,3c,esmeralda,3 nd,esmeralda,Region de Murcia,"calle esmeralda, 49, Region de Murcia, España","Calle Esmeralda, 49, Cartagena, Región de Murcia, España",Calle,Esmeralda,49,Cartagena,Murcia,Región de Murcia,Spain,30310,,37.6229783,-1.0007232,3c
