Original Address,Best Match,Score
"calle san martin de porres, Region de Murcia, Espana",Calle San Martin de Porres,90
"calle collado de los jeronimos, Region de Murcia, Espana",Calle Collado,90
" parcelafosforo, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciportal  punta cormoran nd, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle granizo nnd, Region de Murcia, Espana",Calle Gran,90
"calle collado jeronimo a, Region de Murcia, Espana",Calle Collado,90
" apartamentoapartamento o urb: verdemar iii, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle helena, Region de Murcia, Espana",Calle,90
"calle hawai  b, Region de Murcia, Espana",Calle,90
" mares, Region de Murcia, Espana",Ronda de Levante,86
"calle aldeas de taray, Region de Murcia, Espana",Calle A,90
"calle gran via, Region de Murcia, Espana",Calle Gran Via,90
" lo barquera, Region de Murcia, Espana",Circunvalacion de Murcia,86
" hermanos pinzon, Region de Murcia, Espana",Circunvalacion de Murcia,86
" san luis, Region de Murcia, Espana",Ronda de Levante,86
" jose antonio, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle del pilar, Region de Murcia, Espana",Calle del Pilar,90
"calle esmeralda, Region de Murcia, Espana",Calle Esmeralda,90
"calle turquesa, Region de Murcia, Espana",Calle,90
" caminoa los dolores, Region de Murcia, Espana",camino,90
"calle villamiel, Region de Murcia, Espana",Calle Villamiel,90
"calle munoz seca, Region de Murcia, Espana",Calle Munoz Seca,90
" padilla, Region de Murcia, Espana",Ronda de Levante,86
"calle francisco de rioja, Region de Murcia, Espana",Calle F,90
" costa manga, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizacibungalowarona, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle miraflores, Region de Murcia, Espana",Calle Miraflores,90
" edif. esmeralda  gran via, Region de Murcia, Espana",Gran Via,90
"calle la sombra, Region de Murcia, Espana",Calle la Sombra,90
"calle duplexcalle mayor, Region de Murcia, Espana",Calle Mayor,90
" plaza del cerezo, Region de Murcia, Espana",Plaza de,90
"calle zurbano, Region de Murcia, Espana",Calle,90
"calle munoz delgado, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle limonero, Region de Murcia, Espana",Calle Limon,90
"calle botalon, Region de Murcia, Espana",Calle B,90
"avenida constitucion, Region de Murcia, Espana",Avenida Constitucion,90
"calle sofocles, Region de Murcia, Espana",Calle,90
"calle san isidro, Region de Murcia, Espana",Calle San Isidro,90
" urbanizacila caracola, Region de Murcia, Espana",Caracol,90
"calle de la iglesia numero, Region de Murcia, Espana",Calle de la Iglesia,90
"calle bloquetexas, Unnamed: 0                        42
type_of_street                 calle
addresses         bloquetexas, 25251
neighborhood                 corvera
province                     almeria
street_name              bloquetexas
house_number                     NaN
floor_number                     NaN
Name: 41, dtype: object, Espana",Calle Poeta y Periodista Raimundo de los Reyes,86
"calle altamirano, Region de Murcia, Espana",Calle Alta,90
"calle fermines, Region de Murcia, Espana",Calle,90
"calle avenida san jeronimo, Region de Murcia, Espana",Calle Avenida,90
"calle sierra de gredos, Region de Murcia, Espana",Calle Sierra de Gredos,90
"calle victor hugo, Region de Murcia, Espana",Calle Victor Hugo,90
"calle breton de los herreros, Region de Murcia, Espana",Calle B,90
"calle lugar los tuertos, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle domingo espinosa, Region de Murcia, Espana",Calle Domingo,90
"calle los reyes, Region de Murcia, Espana",Calle Los Reyes,90
" plaza puerto pincipe, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle camino de los cegarras, Region de Murcia, Espana",Calle C,90
"calle angel ferrant, Region de Murcia, Espana",Calle Angel,90
"calle briviesca, Region de Murcia, Espana",Calle B,90
"calle balmes nnd, Region de Murcia, Espana",Calle B,90
"calle zorzal, Region de Murcia, Espana",Calle,90
" aldeas de taray, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle gallo, Region de Murcia, Espana",Calle,90
" playa hondario tajo, Region de Murcia, Espana",Circunvalacion de Murcia,86
" urbanizaciborinquen  p, Region de Murcia, Espana",Circunvalacion de Murcia,86
" borinquen   bloque mayaguez apto m, Region de Murcia, Espana",Circunvalacion de Murcia,86
"calle vista alegrelevante  ., Region de Murcia, Espana",Calle Vista Alegre,90
"calle los salazares s/n, Region de Murcia, Espana",Circunvalacion de Murcia,86
